set_num,name,year,theme_id,num_parts,img_url
79011-1,Dol Guldur Ambush,2013,562,218,https://cdn.rebrickable.com/media/sets/79011-1.jpg
79012-1,Mirkwood Elf Army,2013,562,276,https://cdn.rebrickable.com/media/sets/79012-1.jpg
79013-1,Lake-town Chase,2013,562,470,https://cdn.rebrickable.com/media/sets/79013-1.jpg
79014-1,Dol Guldur Battle,2013,562,797,https://cdn.rebrickable.com/media/sets/79014-1.jpg
79015-1,Witch-King Battle,2014,562,101,https://cdn.rebrickable.com/media/sets/79015-1.jpg
79016-1,Attack on Lake-town,2014,562,313,https://cdn.rebrickable.com/media/sets/79016-1.jpg
79017-1,The Battle of the Five Armies,2014,562,472,https://cdn.rebrickable.com/media/sets/79017-1.jpg
79018-1,The Lonely Mountain,2014,562,866,https://cdn.rebrickable.com/media/sets/79018-1.jpg
7902-1,Doctor's Car,2006,60,66,https://cdn.rebrickable.com/media/sets/7902-1.jpg
7903-1,Rescue Helicopter,2006,60,249,https://cdn.rebrickable.com/media/sets/7903-1.jpg
7904-1,City Advent Calendar 2006,2006,208,259,https://cdn.rebrickable.com/media/sets/7904-1.jpg
7905-1,Building Crane,2006,56,721,https://cdn.rebrickable.com/media/sets/7905-1.jpg
7906-1,Fireboat,2007,58,188,https://cdn.rebrickable.com/media/sets/7906-1.jpg
7907-1,City Advent Calendar 2007,2007,208,234,https://cdn.rebrickable.com/media/sets/7907-1.jpg
79100-1,Kraang Lab Escape,2013,570,90,https://cdn.rebrickable.com/media/sets/79100-1.jpg
7910-1,Robot,2004,204,29,https://cdn.rebrickable.com/media/sets/7910-1.jpg
79101-1,Shredder's Dragon Bike,2013,570,198,https://cdn.rebrickable.com/media/sets/79101-1.jpg
79102-1,Stealth Shell in Pursuit,2013,570,162,https://cdn.rebrickable.com/media/sets/79102-1.jpg
79103-1,Turtle Lair Attack,2013,570,488,https://cdn.rebrickable.com/media/sets/79103-1.jpg
79104-1,The Shellraiser Street Chase,2013,570,620,https://cdn.rebrickable.com/media/sets/79104-1.jpg
79104-2,The Shellraiser Street Chase V2.0,2013,570,651,https://cdn.rebrickable.com/media/sets/79104-2.jpg
79104-3,The Shellraiser Street Chase (Technic Base Version),2013,570,657,https://cdn.rebrickable.com/media/sets/79104-3.jpg
79105-1,Baxter Robot Rampage,2013,570,397,https://cdn.rebrickable.com/media/sets/79105-1.jpg
79106-1,Cavalry Builder Set,2013,575,69,https://cdn.rebrickable.com/media/sets/79106-1.jpg
79107-1,Comanche Camp,2013,575,161,https://cdn.rebrickable.com/media/sets/79107-1.jpg
79108-1,Stagecoach Escape,2013,575,280,https://cdn.rebrickable.com/media/sets/79108-1.jpg
79109-1,Colby City Showdown,2013,575,588,https://cdn.rebrickable.com/media/sets/79109-1.jpg
791-1,Storage Box - Red,1972,473,1,https://cdn.rebrickable.com/media/sets/791-1.jpg
79110-1,Silver Mine Shootout,2013,575,644,https://cdn.rebrickable.com/media/sets/79110-1.jpg
7911-1,Tugboat,2004,204,33,https://cdn.rebrickable.com/media/sets/7911-1.jpg
79111-1,Constitution Train Chase,2013,575,703,https://cdn.rebrickable.com/media/sets/79111-1.jpg
